directory,metadata,sample_number,fastq_filename,fastq,sample,date,origin_O2,O2,week,replicate,type
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_97_LOW12_[LakWasMe97_LOW12]/Raw_Data/8777.2.112196.AGCGCT.fastq.gz,97_LOW12,97,8777.2.112196.AGCGCT.fastq.gz,8777.2.112196.AGCGCT,mg97L_12,July-22-2014,low,high,12,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_104_HOW12_[LakWasM104_HOW12]/Raw_Data/8777.2.112196.CCACGC.fastq.gz,104_HOW12,104,8777.2.112196.CCACGC.fastq.gz,8777.2.112196.CCACGC,mg104H_12,July-22-2014,high,low,12,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_98_LOW12_[LakWasMe98_LOW12]/Raw_Data/8777.2.112196.AGGCCG.fastq.gz,98_LOW12,98,8777.2.112196.AGGCCG.fastq.gz,8777.2.112196.AGGCCG,mg98L_12,July-22-2014,low,high,12,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_105_HOW12_[LakWasM105_HOW12]/Raw_Data/8777.2.112196.CCCATG.fastq.gz,105_HOW12,105,8777.2.112196.CCCATG.fastq.gz,8777.2.112196.CCCATG,mg105H_12,July-22-2014,high,low,12,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_99_LOW12_[LakWasMe99_LOW12]/Raw_Data/8777.2.112196.ATACGG.fastq.gz,99_LOW12,99,8777.2.112196.ATACGG.fastq.gz,8777.2.112196.ATACGG,mg99L_12,July-22-2014,low,high,12,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_100_LOW12_[LakWasM100_LOW12]/Raw_Data/8777.2.112196.ATCCTA.fastq.gz,100_LOW12,100,8777.2.112196.ATCCTA.fastq.gz,8777.2.112196.ATCCTA,mg100L_12,July-22-2014,low,high,12,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_106_HOW12_[LakWasM106_HOW12]/Raw_Data/8777.2.112196.CCGCAA.fastq.gz,106_HOW12,106,8777.2.112196.CCGCAA.fastq.gz,8777.2.112196.CCGCAA,mg106H_12,July-22-2014,high,low,12,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_109_LOW13_[LakWasM109_LOW13]/Raw_Data/8777.3.112209.CCTTAG.fastq.gz,109_LOW13,109,8777.3.112209.CCTTAG.fastq.gz,8777.3.112209.CCTTAG,mg109L_13,July-29-2014,low,high,13,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_115_HOW13_[LakWasM115_HOW13]/Raw_Data/8777.3.112209.GAATAA.fastq.gz,115_HOW13,115,8777.3.112209.GAATAA.fastq.gz,8777.3.112209.GAATAA,mg115H_13,July-29-2014,high,low,13,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_110_LOW13_[LakWasM110_LOW13]/Raw_Data/8777.3.112209.CGAGAA.fastq.gz,110_LOW13,110,8777.3.112209.CGAGAA.fastq.gz,8777.3.112209.CGAGAA,mg110L_13,July-29-2014,low,high,13,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_116_HOW13_[LakWasM116_HOW13]/Raw_Data/8777.3.112209.GACGGA.fastq.gz,116_HOW13,116,8777.3.112209.GACGGA.fastq.gz,8777.3.112209.GACGGA,mg116H_13,July-29-2014,high,low,13,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_111_LOW13_[LakWasM111_LOW13]/Raw_Data/8777.3.112209.CTGCTG.fastq.gz,111_LOW13,111,8777.3.112209.CTGCTG.fastq.gz,8777.3.112209.CTGCTG,mg111L_13,July-29-2014,low,high,13,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_117_HOW13_[LakWasM117_HOW13]/Raw_Data/8777.3.112209.GATATA.fastq.gz,117_HOW13,117,8777.3.112209.GATATA.fastq.gz,8777.3.112209.GATATA,mg117H_13,July-29-2014,high,low,13,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_112_LOW13_[LakWasM112_LOW13]/Raw_Data/8777.3.112209.GAAACC.fastq.gz,112_LOW13,112,8777.3.112209.GAAACC.fastq.gz,8777.3.112209.GAAACC,mg112L_13,July-29-2014,low,high,13,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_118_HOW13_[LakWasM118_HOW13]/Raw_Data/8777.3.112209.GATGCT.fastq.gz,118_HOW13,118,8777.3.112209.GATGCT.fastq.gz,8777.3.112209.GATGCT,mg118H_13,July-29-2014,high,low,13,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_121_LOW14_[LakWasM121_LOW14]/Raw_Data/8777.4.112218.GCAAGG.fastq.gz,121_LOW14,121,8777.4.112218.GCAAGG.fastq.gz,8777.4.112218.GCAAGG,mg121L_14,August-5-2014,low,high,14,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_127_HOW14_[LakWasM127_HOW14]/Raw_Data/8777.4.112218.GGCACA.fastq.gz,127_HOW14,127,8777.4.112218.GGCACA.fastq.gz,8777.4.112218.GGCACA,mg127H_14,August-5-2014,high,low,14,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_122_LOW14_[LakWasM122_LOW14]/Raw_Data/8777.4.112218.GCACTT.fastq.gz,122_LOW14,122,8777.4.112218.GCACTT.fastq.gz,8777.4.112218.GCACTT,mg122L_14,August-5-2014,low,high,14,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_128_HOW14_[LakWasM128_HOW14]/Raw_Data/8777.4.112218.GGCCTG.fastq.gz,128_HOW14,128,8777.4.112218.GGCCTG.fastq.gz,8777.4.112218.GGCCTG,mg128H_14,August-5-2014,high,low,14,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_123_LOW14_[LakWasM123_LOW14]/Raw_Data/8777.4.112218.GCCTTA.fastq.gz,123_LOW14,123,8777.4.112218.GCCTTA.fastq.gz,8777.4.112218.GCCTTA,mg123L_14,August-5-2014,low,high,14,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_129_HOW14_[LakWasM129_HOW14]/Raw_Data/8777.4.112218.TGAATG.fastq.gz,129_HOW14,129,8777.4.112218.TGAATG.fastq.gz,8777.4.112218.TGAATG,mg129H_14,August-5-2014,high,low,14,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_124_LOW14_[LakWasM124_LOW14]/Raw_Data/8777.4.112218.GCTCCA.fastq.gz,124_LOW14,124,8777.4.112218.GCTCCA.fastq.gz,8777.4.112218.GCTCCA,mg124L_14,August-5-2014,low,high,14,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_130_HOW14_[LakWasM130_HOW14]/Raw_Data/8777.4.112218.TGCCAT.fastq.gz,130_HOW14,130,8777.4.112218.TGCCAT.fastq.gz,8777.4.112218.TGCCAT,mg130H_14,August-5-2014,high,low,14,4,Metagenome
